code,name,year,industry,soe,size,lev,age,roa,rd_intensity,latent_shortterm,source
600018,宏智造实业,2021,化学原料制造,0,22.348,0.274,25,0.066,6.145,-0.2517,演示语料（程序化合成，接口见01脚本real模式）
600018,宏智造实业,2022,化学原料制造,0,22.751,0.449,26,0.074,3.505,0.0028,演示语料（程序化合成，接口见01脚本real模式）
600018,宏智造实业,2023,化学原料制造,0,22.589,0.538,27,0.067,3.423,0.1764,演示语料（程序化合成，接口见01脚本real模式）
000019,宏电子股份,2019,化学原料制造,1,23.176,0.314,9,-0.022,4.304,-0.0336,演示语料（程序化合成，接口见01脚本real模式）
000019,宏电子股份,2020,化学原料制造,1,22.944,0.361,10,0.003,4.995,-0.245,演示语料（程序化合成，接口见01脚本real模式）
000019,宏电子股份,2021,化学原料制造,1,23.033,0.47,11,0.092,4.642,-0.4773,演示语料（程序化合成，接口见01脚本real模式）
000019,宏电子股份,2022,化学原料制造,1,22.945,0.433,12,0.048,4.494,0.2208,演示语料（程序化合成，接口见01脚本real模式）
000019,宏电子股份,2023,化学原料制造,1,23.247,0.633,13,0.008,6.192,-0.3187,演示语料（程序化合成，接口见01脚本real模式）
300020,恒精工股份,2019,医药制造,0,23.026,0.514,21,-0.008,7.205,-0.3422,演示语料（程序化合成，接口见01脚本real模式）
300020,恒精工股份,2020,医药制造,0,23.432,0.439,22,0.051,4.948,-0.2627,演示语料（程序化合成，接口见01脚本real模式）
300020,恒精工股份,2021,医药制造,0,23.571,0.186,23,0.043,4.53,0.2884,演示语料（程序化合成，接口见01脚本real模式）
300020,恒精工股份,2022,医药制造,0,23.328,0.504,24,0.068,8.081,-0.5984,演示语料（程序化合成，接口见01脚本real模式）
300020,恒精工股份,2023,医药制造,0,23.428,0.357,25,0.033,5.362,-0.2743,演示语料（程序化合成，接口见01脚本real模式）
600021,晟动力科技,2019,专用设备制造,0,21.139,0.511,24,0.068,3.991,-1.0446,演示语料（程序化合成，接口见01脚本real模式）
600021,晟动力科技,2020,专用设备制造,0,21.455,0.329,25,0.063,6.25,-1.0419,演示语料（程序化合成，接口见01脚本real模式）
600021,晟动力科技,2021,专用设备制造,0,21.257,0.369,26,0.049,4.945,-0.6428,演示语料（程序化合成，接口见01脚本real模式）
600021,晟动力科技,2022,专用设备制造,0,21.014,0.366,27,0.087,4.671,-0.5203,演示语料（程序化合成，接口见01脚本real模式）
600021,晟动力科技,2023,专用设备制造,0,21.638,0.477,28,0.096,4.259,-0.1097,演示语料（程序化合成，接口见01脚本real模式）
000022,威新材制造,2019,汽车零部件制造,0,23.037,0.493,15,0.028,3.196,0.3855,演示语料（程序化合成，接口见01脚本real模式）
000022,威新材制造,2020,汽车零部件制造,0,22.829,0.242,16,0.068,4.703,0.2785,演示语料（程序化合成，接口见01脚本real模式）
000022,威新材制造,2021,汽车零部件制造,0,22.606,0.484,17,0.014,4.247,0.1101,演示语料（程序化合成，接口见01脚本real模式）
000022,威新材制造,2022,汽车零部件制造,0,23.05,0.257,18,0.073,5.577,0.346,演示语料（程序化合成，接口见01脚本real模式）
000022,威新材制造,2023,汽车零部件制造,0,22.836,0.389,19,-0.083,3.315,0.1224,演示语料（程序化合成，接口见01脚本real模式）
300023,中新材科技,2019,电子元器件制造,0,22.186,0.597,7,0.12,6.553,-0.4138,演示语料（程序化合成，接口见01脚本real模式）
300023,中新材科技,2020,电子元器件制造,0,21.848,0.545,8,0.069,3.822,0.2288,演示语料（程序化合成，接口见01脚本real模式）
300023,中新材科技,2021,电子元器件制造,0,22.031,0.219,9,0.04,3.964,0.0852,演示语料（程序化合成，接口见01脚本real模式）
300023,中新材科技,2022,电子元器件制造,0,21.894,0.316,10,0.059,4.965,-0.2921,演示语料（程序化合成，接口见01脚本real模式）
300023,中新材科技,2023,电子元器件制造,0,22.028,0.237,11,-0.018,4.264,-0.301,演示语料（程序化合成，接口见01脚本real模式）
600024,威医化制造,2019,医药制造,0,23.534,0.6,11,0.085,5.12,0.1771,演示语料（程序化合成，接口见01脚本real模式）
600024,威医化制造,2020,医药制造,0,23.841,0.345,12,-0.052,5.055,0.1524,演示语料（程序化合成，接口见01脚本real模式）
600024,威医化制造,2021,医药制造,0,23.778,0.477,13,0.073,6.13,0.3176,演示语料（程序化合成，接口见01脚本real模式）
600024,威医化制造,2022,医药制造,0,24.082,0.09,14,0.012,4.455,0.1486,演示语料（程序化合成，接口见01脚本real模式）
600024,威医化制造,2023,医药制造,0,23.926,0.217,15,0.093,5.292,0.125,演示语料（程序化合成，接口见01脚本real模式）
000025,晟医化股份,2019,电子元器件制造,1,21.05,0.392,6,0.065,5.572,-0.7745,演示语料（程序化合成，接口见01脚本real模式）
000025,晟医化股份,2020,电子元器件制造,1,21.306,0.291,7,0.105,4.537,-0.5887,演示语料（程序化合成，接口见01脚本real模式）
000025,晟医化股份,2021,电子元器件制造,1,21.384,0.688,8,0.015,2.601,0.0128,演示语料（程序化合成，接口见01脚本real模式）
000025,晟医化股份,2022,电子元器件制造,1,21.4,0.428,9,-0.048,4.373,-0.1752,演示语料（程序化合成，接口见01脚本real模式）
000025,晟医化股份,2023,电子元器件制造,1,21.506,0.425,10,0.011,2.102,0.0669,演示语料（程序化合成，接口见01脚本real模式）
300026,天电子科技,2019,化学原料制造,0,21.324,0.568,25,-0.036,4.958,-0.1136,演示语料（程序化合成，接口见01脚本real模式）
300026,天电子科技,2020,化学原料制造,0,21.71,0.297,26,0.025,4.072,0.2107,演示语料（程序化合成，接口见01脚本real模式）
300026,天电子科技,2021,化学原料制造,0,21.429,0.629,27,-0.019,4.859,-0.2184,演示语料（程序化合成，接口见01脚本real模式）
300026,天电子科技,2022,化学原料制造,0,21.903,0.715,28,0.054,4.068,-0.1242,演示语料（程序化合成，接口见01脚本real模式）
300026,天电子科技,2023,化学原料制造,0,21.951,0.266,29,-0.026,2.34,-0.0452,演示语料（程序化合成，接口见01脚本real模式）
600027,北医化实业,2019,电子元器件制造,1,23.723,0.321,6,0.112,5.11,-0.7689,演示语料（程序化合成，接口见01脚本real模式）
600027,北医化实业,2020,电子元器件制造,1,24.076,0.097,7,0.055,6.871,-0.9726,演示语料（程序化合成，接口见01脚本real模式）
600027,北医化实业,2021,电子元器件制造,1,24.068,0.465,8,0.106,5.603,-0.2184,演示语料（程序化合成，接口见01脚本real模式）
600027,北医化实业,2022,电子元器件制造,1,24.107,0.384,9,-0.045,7.005,-0.3395,演示语料（程序化合成，接口见01脚本real模式）
600027,北医化实业,2023,电子元器件制造,1,24.302,0.464,10,0.126,6.834,-0.3895,演示语料（程序化合成，接口见01脚本real模式）
000028,东医化股份,2019,医药制造,0,23.021,0.46,18,0.001,5.36,-0.1729,演示语料（程序化合成，接口见01脚本real模式）
000028,东医化股份,2020,医药制造,0,23.255,0.388,19,-0.036,4.912,-0.4776,演示语料（程序化合成，接口见01脚本real模式）
000028,东医化股份,2021,医药制造,0,23.205,0.448,20,0.075,5.253,0.0017,演示语料（程序化合成，接口见01脚本real模式）
000028,东医化股份,2022,医药制造,0,23.427,0.264,21,0.056,4.37,-0.5433,演示语料（程序化合成，接口见01脚本real模式）
000028,东医化股份,2023,医药制造,0,23.175,0.441,22,-0.022,5.942,-0.4262,演示语料（程序化合成，接口见01脚本real模式）
300029,恒智造实业,2019,电子元器件制造,1,23.358,0.381,19,-0.036,6.142,-1.0732,演示语料（程序化合成，接口见01脚本real模式）
300029,恒智造实业,2020,电子元器件制造,1,23.589,0.432,20,-0.01,4.226,-0.7889,演示语料（程序化合成，接口见01脚本real模式）
300029,恒智造实业,2021,电子元器件制造,1,23.629,0.28,21,0.029,5.423,-0.9691,演示语料（程序化合成，接口见01脚本real模式）
300029,恒智造实业,2022,电子元器件制造,1,23.351,0.508,22,0.044,4.264,-0.6326,演示语料（程序化合成，接口见01脚本real模式）
300029,恒智造实业,2023,电子元器件制造,1,23.79,0.478,23,0.004,3.891,-0.089,演示语料（程序化合成，接口见01脚本real模式）
600030,北环科制造,2019,电子元器件制造,0,22.204,0.335,10,0.072,1.466,0.5909,演示语料（程序化合成，接口见01脚本real模式）
600030,北环科制造,2020,电子元器件制造,0,22.351,0.675,11,0.119,2.413,0.6328,演示语料（程序化合成，接口见01脚本real模式）
600030,北环科制造,2021,电子元器件制造,0,22.607,0.628,12,0.038,3.31,0.6842,演示语料（程序化合成，接口见01脚本real模式）
600030,北环科制造,2022,电子元器件制造,0,22.638,0.4,13,0.045,5.125,0.7071,演示语料（程序化合成，接口见01脚本real模式）
600030,北环科制造,2023,电子元器件制造,0,22.76,0.316,14,-0.041,3.821,0.4188,演示语料（程序化合成，接口见01脚本real模式）
000031,中新材股份,2019,电子元器件制造,0,22.858,0.592,24,0.051,7.908,-2.1885,演示语料（程序化合成，接口见01脚本real模式）
000031,中新材股份,2020,电子元器件制造,0,23.004,0.457,25,-0.091,7.067,-1.3969,演示语料（程序化合成，接口见01脚本real模式）
000031,中新材股份,2021,电子元器件制造,0,22.763,0.2,26,0.006,4.55,-0.4711,演示语料（程序化合成，接口见01脚本real模式）
000031,中新材股份,2022,电子元器件制造,0,23.104,0.432,27,0.138,5.235,0.1009,演示语料（程序化合成，接口见01脚本real模式）
000031,中新材股份,2023,电子元器件制造,0,22.688,0.538,28,0.098,2.675,0.1588,演示语料（程序化合成，接口见01脚本real模式）
300032,利智造科技,2019,化学原料制造,0,22.011,0.351,14,0.018,5.114,0.4192,演示语料（程序化合成，接口见01脚本real模式）
300032,利智造科技,2020,化学原料制造,0,22.15,0.637,15,0.069,2.374,0.4142,演示语料（程序化合成，接口见01脚本real模式）
300032,利智造科技,2021,化学原料制造,0,22.049,0.379,16,-0.013,3.799,0.654,演示语料（程序化合成，接口见01脚本real模式）
300032,利智造科技,2022,化学原料制造,0,22.232,0.265,17,-0.057,1.481,0.9977,演示语料（程序化合成，接口见01脚本real模式）
300032,利智造科技,2023,化学原料制造,0,22.184,0.398,18,0.102,5.144,0.4498,演示语料（程序化合成，接口见01脚本real模式）
600033,华新材实业,2019,电子元器件制造,1,22.825,0.506,13,-0.033,5.028,-0.5248,演示语料（程序化合成，接口见01脚本real模式）
600033,华新材实业,2020,电子元器件制造,1,22.833,0.479,14,0.141,3.995,-0.017,演示语料（程序化合成，接口见01脚本real模式）
600033,华新材实业,2021,电子元器件制造,1,22.628,0.442,15,-0.019,3.87,0.3295,演示语料（程序化合成，接口见01脚本real模式）
600033,华新材实业,2022,电子元器件制造,1,22.626,0.747,16,0.026,5.443,-0.562,演示语料（程序化合成，接口见01脚本real模式）
600033,华新材实业,2023,电子元器件制造,1,22.76,0.426,17,-0.017,5.086,-0.4561,演示语料（程序化合成，接口见01脚本real模式）
000034,利环科科技,2019,化学原料制造,0,21.877,0.219,19,-0.024,2.492,1.0839,演示语料（程序化合成，接口见01脚本real模式）
000034,利环科科技,2020,化学原料制造,0,22.188,0.396,20,-0.0,3.176,0.4189,演示语料（程序化合成，接口见01脚本real模式）
000034,利环科科技,2021,化学原料制造,0,22.254,0.471,21,0.008,2.779,0.1139,演示语料（程序化合成，接口见01脚本real模式）
000034,利环科科技,2022,化学原料制造,0,22.445,0.638,22,0.101,5.239,-0.423,演示语料（程序化合成，接口见01脚本real模式）
000034,利环科科技,2023,化学原料制造,0,22.303,0.471,23,0.135,4.665,-0.9814,演示语料（程序化合成，接口见01脚本real模式）
300035,北动力制造,2019,电子元器件制造,0,22.389,0.346,9,0.035,5.458,-0.9858,演示语料（程序化合成，接口见01脚本real模式）
300035,北动力制造,2020,电子元器件制造,0,22.324,0.453,10,0.099,4.157,-0.5122,演示语料（程序化合成，接口见01脚本real模式）
300035,北动力制造,2021,电子元器件制造,0,22.278,0.489,11,0.023,4.465,-0.1733,演示语料（程序化合成，接口见01脚本real模式）
300035,北动力制造,2022,电子元器件制造,0,22.474,0.397,12,0.031,4.541,-0.2524,演示语料（程序化合成，接口见01脚本real模式）
300035,北动力制造,2023,电子元器件制造,0,22.574,0.208,13,-0.025,4.646,-0.5691,演示语料（程序化合成，接口见01脚本real模式）
600036,威动力科技,2019,汽车零部件制造,0,21.646,0.329,24,0.1,5.34,0.1535,演示语料（程序化合成，接口见01脚本real模式）
600036,威动力科技,2020,汽车零部件制造,0,22.155,0.42,25,0.131,4.22,-0.2738,演示语料（程序化合成，接口见01脚本real模式）
600036,威动力科技,2021,汽车零部件制造,0,21.842,0.315,26,0.088,5.245,-0.3994,演示语料（程序化合成，接口见01脚本real模式）
600036,威动力科技,2022,汽车零部件制造,0,21.977,0.621,27,0.021,5.009,-0.5449,演示语料（程序化合成，接口见01脚本real模式）
600036,威动力科技,2023,汽车零部件制造,0,22.3,0.342,28,-0.034,3.518,0.1801,演示语料（程序化合成，接口见01脚本real模式）
000037,康光电股份,2019,化学原料制造,0,23.895,0.227,14,0.078,6.505,-0.5855,演示语料（程序化合成，接口见01脚本real模式）
000037,康光电股份,2020,化学原料制造,0,23.814,0.493,15,0.054,5.728,-0.6859,演示语料（程序化合成，接口见01脚本real模式）
000037,康光电股份,2021,化学原料制造,0,23.845,0.602,16,0.051,6.417,-0.9132,演示语料（程序化合成，接口见01脚本real模式）
000037,康光电股份,2022,化学原料制造,0,23.773,0.394,17,-0.019,5.389,-0.3313,演示语料（程序化合成，接口见01脚本real模式）
000037,康光电股份,2023,化学原料制造,0,23.992,0.239,18,-0.007,6.382,-0.0651,演示语料（程序化合成，接口见01脚本real模式）
300038,中电子制造,2019,电子元器件制造,1,21.131,0.474,25,0.004,4.774,-0.5021,演示语料（程序化合成，接口见01脚本real模式）
300038,中电子制造,2020,电子元器件制造,1,21.165,0.444,26,0.054,3.134,0.4867,演示语料（程序化合成，接口见01脚本real模式）
300038,中电子制造,2021,电子元器件制造,1,21.256,0.348,27,0.117,3.601,-0.1755,演示语料（程序化合成，接口见01脚本real模式）
300038,中电子制造,2022,电子元器件制造,1,21.294,0.607,28,-0.005,3.976,-0.4298,演示语料（程序化合成，接口见01脚本real模式）
300038,中电子制造,2023,电子元器件制造,1,21.481,0.355,29,0.029,4.633,-0.3101,演示语料（程序化合成，接口见01脚本real模式）
600039,金动力制造,2019,医药制造,0,21.625,0.517,11,0.06,3.506,0.8728,演示语料（程序化合成，接口见01脚本real模式）
600039,金动力制造,2020,医药制造,0,21.503,0.214,12,-0.021,3.414,0.3653,演示语料（程序化合成，接口见01脚本real模式）
600039,金动力制造,2021,医药制造,0,21.631,0.179,13,0.109,4.037,-0.481,演示语料（程序化合成，接口见01脚本real模式）
600039,金动力制造,2022,医药制造,0,21.867,0.286,14,0.026,5.784,-0.5899,演示语料（程序化合成，接口见01脚本real模式）
600039,金动力制造,2023,医药制造,0,21.996,0.353,15,-0.109,4.683,-0.289,演示语料（程序化合成，接口见01脚本real模式）
000040,中智控实业,2019,化学原料制造,0,20.977,0.4,24,0.044,2.702,0.7962,演示语料（程序化合成，接口见01脚本real模式）
000040,中智控实业,2020,化学原料制造,0,21.004,0.548,25,0.025,3.749,0.5791,演示语料（程序化合成，接口见01脚本real模式）
000040,中智控实业,2021,化学原料制造,0,20.932,0.604,26,0.029,2.931,0.662,演示语料（程序化合成，接口见01脚本real模式）
000040,中智控实业,2022,化学原料制造,0,21.209,0.686,27,0.108,2.582,0.7215,演示语料（程序化合成，接口见01脚本real模式）
000040,中智控实业,2023,化学原料制造,0,20.904,0.258,28,-0.006,1.368,0.5688,演示语料（程序化合成，接口见01脚本real模式）
300041,东电子实业,2019,医药制造,0,22.307,0.506,8,0.062,2.43,0.5225,演示语料（程序化合成，接口见01脚本real模式）
300041,东电子实业,2020,医药制造,0,22.321,0.404,9,0.139,3.738,0.1465,演示语料（程序化合成，接口见01脚本real模式）
300041,东电子实业,2021,医药制造,0,22.278,0.455,10,0.055,5.167,0.3372,演示语料（程序化合成，接口见01脚本real模式）
