code,year,n_words,dict_hits,ShortTerm,ShortTermSent,name,industry,soe,size,lev,age,roa,rd_intensity,latent_shortterm
000016,2019,223,8,3.5874,25.0,瑞精工实业,汽车零部件制造,0,22.783,0.329,21,0.077,4.075,0.0092
000016,2020,200,3,1.5,17.6471,瑞精工实业,汽车零部件制造,0,22.789,0.488,22,0.127,4.71,-0.3616
000016,2021,197,7,3.5533,22.2222,瑞精工实业,汽车零部件制造,0,22.914,0.448,23,-0.009,5.029,-0.6338
000016,2022,198,4,2.0202,22.2222,瑞精工实业,汽车零部件制造,0,22.699,0.506,24,0.065,6.068,-0.8436
000016,2023,155,2,1.2903,7.1429,瑞精工实业,汽车零部件制造,0,23.066,0.246,25,0.001,4.066,-0.7296
000019,2019,148,5,3.3784,21.4286,宏电子股份,化学原料制造,1,23.176,0.314,9,-0.022,4.304,-0.0336
000019,2020,162,5,3.0864,20.0,宏电子股份,化学原料制造,1,22.944,0.361,10,0.003,4.995,-0.245
000019,2021,198,5,2.5253,16.6667,宏电子股份,化学原料制造,1,23.033,0.47,11,0.092,4.642,-0.4773
000019,2022,150,5,3.3333,20.0,宏电子股份,化学原料制造,1,22.945,0.433,12,0.048,4.494,0.2208
000019,2023,186,7,3.7634,23.5294,宏电子股份,化学原料制造,1,23.247,0.633,13,0.008,6.192,-0.3187
000022,2019,163,3,1.8405,12.5,威新材制造,汽车零部件制造,0,23.037,0.493,15,0.028,3.196,0.3855
000022,2020,201,4,1.99,15.7895,威新材制造,汽车零部件制造,0,22.829,0.242,16,0.068,4.703,0.2785
000022,2021,186,5,2.6882,18.75,威新材制造,汽车零部件制造,0,22.606,0.484,17,0.014,4.247,0.1101
000022,2022,215,8,3.7209,15.0,威新材制造,汽车零部件制造,0,23.05,0.257,18,0.073,5.577,0.346
000022,2023,178,5,2.809,18.75,威新材制造,汽车零部件制造,0,22.836,0.389,19,-0.083,3.315,0.1224
000025,2019,188,4,2.1277,16.6667,晟医化股份,电子元器件制造,1,21.05,0.392,6,0.065,5.572,-0.7745
000025,2020,161,2,1.2422,6.6667,晟医化股份,电子元器件制造,1,21.306,0.291,7,0.105,4.537,-0.5887
000025,2021,218,5,2.2936,21.0526,晟医化股份,电子元器件制造,1,21.384,0.688,8,0.015,2.601,0.0128
000025,2022,174,4,2.2989,12.5,晟医化股份,电子元器件制造,1,21.4,0.428,9,-0.048,4.373,-0.1752
000025,2023,194,6,3.0928,23.5294,晟医化股份,电子元器件制造,1,21.506,0.425,10,0.011,2.102,0.0669
000028,2019,193,8,4.1451,26.3158,东医化股份,医药制造,0,23.021,0.46,18,0.001,5.36,-0.1729
000028,2020,180,6,3.3333,17.6471,东医化股份,医药制造,0,23.255,0.388,19,-0.036,4.912,-0.4776
000028,2021,170,7,4.1176,25.0,东医化股份,医药制造,0,23.205,0.448,20,0.075,5.253,0.0017
000028,2022,158,4,2.5316,20.0,东医化股份,医药制造,0,23.427,0.264,21,0.056,4.37,-0.5433
000028,2023,201,5,2.4876,15.7895,东医化股份,医药制造,0,23.175,0.441,22,-0.022,5.942,-0.4262
000031,2019,228,4,1.7544,14.2857,中新材股份,电子元器件制造,0,22.858,0.592,24,0.051,7.908,-2.1885
000031,2020,143,2,1.3986,7.1429,中新材股份,电子元器件制造,0,23.004,0.457,25,-0.091,7.067,-1.3969
000031,2021,168,2,1.1905,13.3333,中新材股份,电子元器件制造,0,22.763,0.2,26,0.006,4.55,-0.4711
000031,2022,216,7,3.2407,20.0,中新材股份,电子元器件制造,0,23.104,0.432,27,0.138,5.235,0.1009
000031,2023,203,9,4.4335,27.7778,中新材股份,电子元器件制造,0,22.688,0.538,28,0.098,2.675,0.1588
000034,2019,185,7,3.7838,17.6471,利环科科技,化学原料制造,0,21.877,0.219,19,-0.024,2.492,1.0839
000034,2020,169,4,2.3669,20.0,利环科科技,化学原料制造,0,22.188,0.396,20,-0.0,3.176,0.4189
000034,2021,184,6,3.2609,23.5294,利环科科技,化学原料制造,0,22.254,0.471,21,0.008,2.779,0.1139
000034,2022,204,6,2.9412,22.2222,利环科科技,化学原料制造,0,22.445,0.638,22,0.101,5.239,-0.423
000034,2023,113,2,1.7699,18.1818,利环科科技,化学原料制造,0,22.303,0.471,23,0.135,4.665,-0.9814
000037,2019,218,8,3.6697,21.0526,康光电股份,化学原料制造,0,23.895,0.227,14,0.078,6.505,-0.5855
000037,2020,188,5,2.6596,16.6667,康光电股份,化学原料制造,0,23.814,0.493,15,0.054,5.728,-0.6859
000037,2021,226,5,2.2124,19.0476,康光电股份,化学原料制造,0,23.845,0.602,16,0.051,6.417,-0.9132
000037,2022,200,4,2.0,16.6667,康光电股份,化学原料制造,0,23.773,0.394,17,-0.019,5.389,-0.3313
000037,2023,171,3,1.7544,12.5,康光电股份,化学原料制造,0,23.992,0.239,18,-0.007,6.382,-0.0651
000040,2019,215,8,3.7209,23.8095,中智控实业,化学原料制造,0,20.977,0.4,24,0.044,2.702,0.7962
000040,2020,178,6,3.3708,25.0,中智控实业,化学原料制造,0,21.004,0.548,25,0.025,3.749,0.5791
000040,2021,185,7,3.7838,29.4118,中智控实业,化学原料制造,0,20.932,0.604,26,0.029,2.931,0.662
000040,2022,200,7,3.5,21.0526,中智控实业,化学原料制造,0,21.209,0.686,27,0.108,2.582,0.7215
000040,2023,169,7,4.142,25.0,中智控实业,化学原料制造,0,20.904,0.258,28,-0.006,1.368,0.5688
000043,2019,181,6,3.3149,16.6667,北智控科技,汽车零部件制造,0,21.328,0.6,8,0.037,5.754,-0.8839
000043,2020,185,2,1.0811,11.7647,北智控科技,汽车零部件制造,0,21.61,0.742,9,0.112,5.057,-0.7944
000043,2021,180,5,2.7778,18.75,北智控科技,汽车零部件制造,0,21.156,0.512,10,0.052,4.208,-0.5016
000043,2022,159,5,3.1447,26.6667,北智控科技,汽车零部件制造,0,21.429,0.353,11,0.053,4.224,-0.0668
000043,2023,189,5,2.6455,22.2222,北智控科技,汽车零部件制造,0,21.608,0.241,12,-0.009,4.4,-0.1251
000046,2019,243,8,3.2922,27.2727,瑞新材股份,电子元器件制造,0,20.546,0.531,22,-0.013,4.029,-0.3234
000046,2020,165,4,2.4242,25.0,瑞新材股份,电子元器件制造,0,20.295,0.356,23,0.015,2.573,0.1884
000046,2021,167,6,3.5928,25.0,瑞新材股份,电子元器件制造,0,20.78,0.665,24,0.01,3.929,0.364
000046,2022,187,7,3.7433,23.5294,瑞新材股份,电子元器件制造,0,20.853,0.367,25,0.077,3.421,0.3531
000046,2023,155,6,3.871,20.0,瑞新材股份,电子元器件制造,0,20.544,0.596,26,-0.012,1.876,0.5467
000049,2019,162,7,4.321,26.6667,南智造股份,汽车零部件制造,1,22.136,0.535,17,0.039,2.24,0.9778
000049,2020,192,8,4.1667,29.4118,南智造股份,汽车零部件制造,1,22.466,0.39,18,-0.011,2.799,0.6543
000049,2021,208,6,2.8846,21.0526,南智造股份,汽车零部件制造,1,22.433,0.233,19,0.146,5.089,-0.0851
000049,2022,222,8,3.6036,26.3158,南智造股份,汽车零部件制造,1,22.574,0.382,20,0.017,4.462,0.3394
000049,2023,168,5,2.9762,18.75,南智造股份,汽车零部件制造,1,22.427,0.157,21,0.058,4.555,-0.0116
000052,2019,163,6,3.681,26.6667,瑞智造制造,化学原料制造,0,20.746,0.291,19,-0.015,3.603,0.1249
000052,2020,167,4,2.3952,18.75,瑞智造制造,化学原料制造,0,20.679,0.411,20,0.018,4.959,-0.1531
000052,2021,188,7,3.7234,29.4118,瑞智造制造,化学原料制造,0,20.549,0.451,21,0.02,3.763,-0.2275
000052,2022,191,6,3.1414,22.2222,瑞智造制造,化学原料制造,0,20.784,0.58,22,0.102,5.21,-0.1268
000052,2023,192,6,3.125,16.6667,瑞智造制造,化学原料制造,0,20.793,0.344,23,0.064,4.27,-0.2027
000055,2019,192,6,3.125,17.6471,东装备科技,医药制造,1,22.499,0.477,22,0.11,4.432,-0.113
000055,2020,181,6,3.3149,18.75,东装备科技,医药制造,1,22.424,0.365,23,0.04,4.161,0.1601
000055,2021,194,6,3.0928,23.5294,东装备科技,医药制造,1,22.546,0.328,24,0.084,3.962,0.4688
000055,2022,192,4,2.0833,17.6471,东装备科技,医药制造,1,22.555,0.521,25,-0.02,2.712,0.1758
000055,2023,185,9,4.8649,29.4118,东装备科技,医药制造,1,22.607,0.715,26,-0.006,3.842,0.2579
000058,2019,150,5,3.3333,28.5714,泰电子科技,专用设备制造,0,23.415,0.397,12,-0.029,4.719,-0.5842
000058,2020,155,4,2.5806,21.4286,泰电子科技,专用设备制造,0,23.352,0.156,13,0.065,4.567,0.1379
000058,2021,213,6,2.8169,21.0526,泰电子科技,专用设备制造,0,23.409,0.493,14,0.094,5.063,0.4579
000058,2022,145,8,5.5172,35.7143,泰电子科技,专用设备制造,0,23.351,0.309,15,0.048,4.581,0.7881
000058,2023,225,8,3.5556,23.8095,泰电子科技,专用设备制造,0,23.552,0.231,16,0.095,3.216,0.9878
000061,2019,177,3,1.6949,20.0,东智控科技,医药制造,1,20.853,0.443,12,0.021,2.601,0.4341
000061,2020,187,9,4.8128,23.5294,东智控科技,医药制造,1,20.692,0.366,13,0.042,3.449,-0.3392
000061,2021,200,4,2.0,11.1111,东智控科技,医药制造,1,21.083,0.422,14,-0.05,4.666,-0.6335
000061,2022,182,2,1.0989,11.7647,东智控科技,医药制造,1,21.258,0.326,15,0.072,4.008,-0.5264
000061,2023,166,9,5.4217,26.6667,东智控科技,医药制造,1,21.354,0.406,16,0.082,3.715,-0.6501
000064,2019,171,4,2.3392,25.0,北新材实业,医药制造,0,22.329,0.296,10,0.087,7.519,-0.3455
000064,2020,192,8,4.1667,23.5294,北新材实业,医药制造,0,22.302,0.371,11,0.003,4.484,0.0681
000064,2021,195,4,2.0513,16.6667,北新材实业,医药制造,0,22.49,0.482,12,0.05,4.896,0.1198
000064,2022,179,6,3.352,25.0,北新材实业,医药制造,0,22.39,0.502,13,0.048,4.875,0.2565
000064,2023,177,6,3.3898,18.75,北新材实业,医药制造,0,22.659,0.51,14,0.016,3.123,0.2913
000067,2019,180,7,3.8889,23.5294,晟动力实业,医药制造,0,23.707,0.565,22,0.071,4.012,0.974
000067,2020,159,7,4.4025,26.6667,晟动力实业,医药制造,0,23.57,0.374,23,0.06,3.866,0.7739
000067,2021,174,7,4.023,23.5294,晟动力实业,医药制造,0,23.357,0.476,24,0.059,4.568,-0.1777
000067,2022,171,4,2.3392,12.5,晟动力实业,医药制造,0,23.556,0.386,25,0.006,4.514,-0.3051
000067,2023,198,6,3.0303,21.0526,晟动力实业,医药制造,0,23.711,0.561,26,0.081,5.572,-0.141
000070,2019,195,4,2.0513,16.6667,瑞智造制造,汽车零部件制造,0,23.199,0.259,16,0.033,4.798,-0.8233
000070,2020,192,5,2.6042,16.6667,瑞智造制造,汽车零部件制造,0,22.978,0.433,17,0.013,5.637,-0.7383
000070,2021,161,3,1.8634,14.2857,瑞智造制造,汽车零部件制造,0,23.118,0.337,18,0.066,6.039,-0.2235
000070,2022,159,6,3.7736,20.0,瑞智造制造,汽车零部件制造,0,22.958,0.209,19,0.176,3.716,-0.6651
000070,2023,172,4,2.3256,18.75,瑞智造制造,汽车零部件制造,0,23.232,0.345,20,-0.006,5.415,-0.3987
000073,2019,179,6,3.352,23.5294,天装备股份,化学原料制造,0,22.021,0.648,21,-0.002,5.321,-0.1801
000073,2020,186,6,3.2258,17.6471,天装备股份,化学原料制造,0,22.428,0.379,22,-0.048,5.38,-0.4589
000073,2021,185,5,2.7027,17.6471,天装备股份,化学原料制造,0,22.259,0.518,23,0.071,3.449,-0.25
000073,2022,202,5,2.4752,22.2222,天装备股份,化学原料制造,0,22.434,0.308,24,0.028,2.837,-0.2532
000073,2023,204,6,2.9412,15.7895,天装备股份,化学原料制造,0,22.608,0.328,25,0.001,2.968,-0.1367
000076,2019,224,5,2.2321,15.0,东智控实业,医药制造,0,22.18,0.498,16,0.019,6.975,-0.3036
000076,2020,202,8,3.9604,22.2222,东智控实业,医药制造,0,22.222,0.417,17,0.062,4.659,0.1985
000076,2021,169,8,4.7337,25.0,东智控实业,医药制造,0,21.982,0.45,18,-0.048,4.159,-0.0255
000076,2022,148,5,3.3784,14.2857,东智控实业,医药制造,0,22.239,0.462,19,0.001,5.053,-0.3744
000076,2023,184,6,3.2609,17.6471,东智控实业,医药制造,0,22.053,0.464,20,0.056,5.104,0.2688
000079,2019,168,6,3.5714,18.75,瑞装备科技,医药制造,0,21.329,0.219,20,0.051,2.996,0.7894
000079,2020,229,6,2.6201,23.8095,瑞装备科技,医药制造,0,21.428,0.484,21,0.036,4.831,0.5167
000079,2021,187,6,3.2086,18.75,瑞装备科技,医药制造,0,21.199,0.179,22,0.021,4.601,0.1809
000079,2022,190,4,2.1053,17.6471,瑞装备科技,医药制造,0,21.414,0.585,23,-0.064,3.891,0.3511
000079,2023,171,7,4.0936,23.5294,瑞装备科技,医药制造,0,21.339,0.474,24,0.016,1.55,0.5692
000082,2019,193,8,4.1451,16.6667,天医化实业,汽车零部件制造,1,23.721,0.611,6,-0.009,7.289,-1.4405
000082,2020,180,2,1.1111,12.5,天医化实业,汽车零部件制造,1,23.333,0.469,7,0.022,7.357,-1.3065
000082,2021,187,4,2.139,11.7647,天医化实业,汽车零部件制造,1,23.77,0.494,8,0.011,6.727,-1.2543
000082,2022,155,1,0.6452,6.6667,天医化实业,汽车零部件制造,1,23.91,0.492,9,0.046,5.566,-0.5792
000082,2023,152,4,2.6316,13.3333,天医化实业,汽车零部件制造,1,23.676,0.586,10,-0.001,5.767,-0.8911
000085,2019,179,5,2.7933,18.75,东精工实业,专用设备制造,0,22.661,0.466,20,0.045,5.033,0.0721
000085,2020,201,4,1.99,16.6667,东精工实业,专用设备制造,0,22.725,0.38,21,0.058,3.518,-0.1703
000085,2021,186,6,3.2258,23.5294,东精工实业,专用设备制造,0,22.986,0.229,22,0.057,4.473,0.2899
000085,2022,190,6,3.1579,22.2222,东精工实业,专用设备制造,0,23.045,0.404,23,0.072,4.608,0.3564
000085,2023,147,7,4.7619,28.5714,东精工实业,专用设备制造,0,22.946,0.326,24,0.118,2.253,1.1185
000088,2019,166,4,2.4096,18.75,瑞智造股份,医药制造,0,22.853,0.596,12,0.108,5.385,-0.7983
000088,2020,164,1,0.6098,6.6667,瑞智造股份,医药制造,0,22.315,0.538,13,-0.018,5.682,-0.9109
000088,2021,129,0,0.0,0.0,瑞智造股份,医药制造,0,22.466,0.471,14,0.046,5.001,-0.4623
000088,2022,192,4,2.0833,16.6667,瑞智造股份,医药制造,0,22.616,0.366,15,0.07,6.578,-0.7094
000088,2023,138,3,2.1739,14.2857,瑞智造股份,医药制造,0,22.673,0.736,16,0.058,4.264,-0.5661
000091,2019,186,3,1.6129,11.7647,华新材制造,医药制造,0,22.248,0.498,25,0.055,3.349,0.1645
000091,2020,160,7,4.375,28.5714,华新材制造,医药制造,0,22.212,0.328,26,-0.003,3.85,0.1639
000091,2021,186,5,2.6882,17.6471,华新材制造,医药制造,0,22.173,0.612,27,-0.057,4.031,0.1426
000091,2022,186,4,2.1505,17.6471,华新材制造,医药制造,0,22.219,0.487,28,0.022,5.077,0.1561
000091,2023,158,3,1.8987,14.2857,华新材制造,医药制造,0,22.568,0.598,29,0.043,4.486,-0.2035
000094,2019,195,5,2.5641,17.6471,恒新材实业,化学原料制造,0,22.528,0.442,20,0.039,4.563,-0.0782
000094,2020,200,8,4.0,21.0526,恒新材实业,化学原料制造,0,22.367,0.445,21,-0.025,4.464,-0.1522
000094,2021,184,6,3.2609,25.0,恒新材实业,化学原料制造,0,22.47,0.445,22,0.138,4.521,0.434
000094,2022,179,6,3.352,18.75,恒新材实业,化学原料制造,0,22.671,0.43,23,0.011,2.743,0.3825
000094,2023,173,3,1.7341,12.5,恒新材实业,化学原料制造,0,22.583,0.399,24,0.052,4.029,-0.1709
000097,2019,144,5,3.4722,23.0769,金动力实业,化学原料制造,0,21.867,0.391,6,-0.022,3.731,-0.5077
000097,2020,166,3,1.8072,20.0,金动力实业,化学原料制造,0,21.601,0.199,7,-0.088,3.328,-0.9063
000097,2021,169,2,1.1834,6.6667,金动力实业,化学原料制造,0,21.889,0.579,8,0.012,4.694,-0.8259
000097,2022,201,5,2.4876,22.2222,金动力实业,化学原料制造,0,22.252,0.534,9,0.085,2.644,-0.3712
000097,2023,204,3,1.4706,11.1111,金动力实业,化学原料制造,0,22.271,0.533,10,0.043,4.859,-0.0386
000100,2019,155,2,1.2903,14.2857,瑞动力股份,汽车零部件制造,0,23.309,0.523,13,0.035,3.793,0.0111
000100,2020,218,5,2.2936,20.0,瑞动力股份,汽车零部件制造,0,23.438,0.263,14,0.018,3.192,0.1707
000100,2021,184,7,3.8043,23.5294,瑞动力股份,汽车零部件制造,0,23.358,0.575,15,0.054,5.728,0.2409
000100,2022,209,5,2.3923,15.7895,瑞动力股份,汽车零部件制造,0,23.442,0.275,16,0.051,5.291,0.2458
000100,2023,226,4,1.7699,19.0476,瑞动力股份,汽车零部件制造,0,23.606,0.292,17,-0.028,5.689,0.1604
000103,2019,151,2,1.3245,7.1429,东新材制造,医药制造,0,20.321,0.41,11,0.058,5.291,-1.1473
000103,2020,174,7,4.023,18.75,东新材制造,医药制造,0,20.748,0.24,12,0.076,3.926,-0.85
000103,2021,136,4,2.9412,15.3846,东新材制造,医药制造,0,20.723,0.343,13,0.056,4.834,-0.9232
000103,2022,168,3,1.7857,18.75,东新材制造,医药制造,0,21.185,0.272,14,-0.002,4.721,-0.7657
000103,2023,188,5,2.6596,17.6471,东新材制造,医药制造,0,20.922,0.332,15,0.03,4.301,-0.1582
000106,2019,197,5,2.5381,16.6667,北医化股份,医药制造,0,21.856,0.532,19,0.036,5.454,-0.6675
000106,2020,200,4,2.0,16.6667,北医化股份,医药制造,0,21.777,0.194,20,0.089,5.058,-0.9631
000106,2021,170,4,2.3529,18.75,北医化股份,医药制造,0,21.892,0.373,21,0.042,6.995,-0.9016
000106,2022,218,8,3.6697,20.0,北医化股份,医药制造,0,21.735,0.192,22,-0.024,5.299,-0.6006
000106,2023,174,6,3.4483,18.75,北医化股份,医药制造,0,21.761,0.335,23,0.089,4.124,-0.3262
000109,2019,179,4,2.2346,17.6471,利环科股份,电子元器件制造,0,21.649,0.539,24,0.067,5.92,-0.7134
000109,2020,175,4,2.2857,12.5,利环科股份,电子元器件制造,0,22.207,0.234,25,-0.007,3.958,-0.6548
000109,2021,194,2,1.0309,11.1111,利环科股份,电子元器件制造,0,22.034,0.257,26,0.021,4.167,-0.796
000109,2022,183,4,2.1858,23.5294,利环科股份,电子元器件制造,0,22.172,0.361,27,-0.008,4.341,-0.396
000109,2023,175,5,2.8571,18.75,利环科股份,电子元器件制造,0,22.053,0.533,28,0.114,6.288,-0.6912
000112,2019,191,7,3.6649,27.7778,威医化科技,电子元器件制造,0,22.235,0.381,20,0.013,0.299,2.8152
000112,2020,208,8,3.8462,30.0,威医化科技,电子元器件制造,0,22.085,0.505,21,0.076,0.2,2.2529
000112,2021,214,10,4.6729,30.0,威医化科技,电子元器件制造,0,22.485,0.459,22,0.084,0.958,1.7916
000112,2022,194,8,4.1237,27.7778,威医化科技,电子元器件制造,0,22.193,0.318,23,-0.012,2.986,0.8095
000112,2023,214,7,3.271,21.0526,威医化科技,电子元器件制造,0,22.119,0.211,24,0.049,3.976,0.4155
000115,2019,178,3,1.6854,11.7647,威医化制造,化学原料制造,0,20.25,0.548,9,0.111,5.86,-2.0075
000115,2020,195,7,3.5897,23.5294,威医化制造,化学原料制造,0,20.061,0.319,10,-0.003,5.169,-1.4254
000115,2021,168,5,2.9762,18.75,威医化制造,化学原料制造,0,19.759,0.645,11,0.009,4.523,-1.1554
000115,2022,137,3,2.1898,15.3846,威医化制造,化学原料制造,0,19.912,0.502,12,0.075,4.859,-0.5333
000115,2023,148,3,2.027,14.2857,威医化制造,化学原料制造,0,20.299,0.385,13,0.053,4.056,-0.732
000118,2019,189,3,1.5873,11.7647,泰动力实业,医药制造,0,20.38,0.233,12,0.119,3.169,0.7632
000118,2020,184,8,4.3478,27.7778,泰动力实业,医药制造,0,20.551,0.496,13,0.032,1.895,1.2793
000118,2021,206,9,4.3689,27.7778,泰动力实业,医药制造,0,20.687,0.417,14,0.055,1.65,0.8088
000118,2022,174,8,4.5977,26.6667,泰动力实业,医药制造,0,20.55,0.538,15,0.078,3.321,0.3428
000118,2023,193,7,3.6269,22.2222,泰动力实业,医药制造,0,20.43,0.387,16,0.035,3.447,0.1811
300002,2019,183,7,3.8251,23.5294,北智控实业,专用设备制造,1,20.695,0.475,8,0.076,2.485,-0.0254
300002,2020,214,9,4.2056,21.0526,北智控实业,专用设备制造,1,20.711,0.369,9,0.105,4.028,-0.2906
300002,2021,179,4,2.2346,17.6471,北智控实业,专用设备制造,1,21.063,0.389,10,0.086,4.399,-0.0286
300002,2022,167,4,2.3952,25.0,北智控实业,专用设备制造,1,21.002,0.186,11,-0.003,4.204,0.0436
300002,2023,181,4,2.2099,11.7647,北智控实业,专用设备制造,1,21.046,0.256,12,0.012,4.785,-0.3718
300005,2019,210,8,3.8095,21.0526,瑞电子股份,汽车零部件制造,0,21.979,0.5,22,0.098,3.17,0.4006
300005,2020,153,8,5.2288,26.6667,瑞电子股份,汽车零部件制造,0,21.765,0.39,23,0.063,2.863,0.6173
300005,2021,198,7,3.5354,26.3158,瑞电子股份,汽车零部件制造,0,21.863,0.449,24,-0.045,4.168,0.0969
300005,2022,173,9,5.2023,25.0,瑞电子股份,汽车零部件制造,0,21.854,0.333,25,0.045,2.955,0.6387
300005,2023,196,5,2.551,22.2222,瑞电子股份,汽车零部件制造,0,22.068,0.468,26,0.007,4.356,0.2295
300008,2019,154,6,3.8961,20.0,泰医化科技,医药制造,0,22.207,0.113,22,0.109,4.831,-0.1247
300008,2020,213,4,1.8779,10.5263,泰医化科技,医药制造,0,22.633,0.358,23,0.096,5.87,-0.0615
300008,2021,185,7,3.7838,29.4118,泰医化科技,医药制造,0,22.367,0.392,24,-0.01,5.619,-0.248
300008,2022,172,5,2.907,18.75,泰医化科技,医药制造,0,22.601,0.497,25,0.091,2.202,0.4442
300008,2023,151,6,3.9735,28.5714,泰医化科技,医药制造,0,22.521,0.212,26,-0.019,3.763,0.366
300011,2019,188,4,2.1277,11.1111,康新材实业,化学原料制造,1,20.829,0.338,25,0.059,5.617,-0.903
300011,2020,195,4,2.0513,16.6667,康新材实业,化学原料制造,1,21.23,0.409,26,-0.003,4.111,-0.5478
300011,2021,217,4,1.8433,15.7895,康新材实业,化学原料制造,1,21.185,0.579,27,0.059,4.704,-0.4968
300011,2022,186,6,3.2258,23.5294,康新材实业,化学原料制造,1,21.178,0.661,28,0.12,5.462,0.021
300011,2023,224,13,5.8036,25.0,康新材实业,化学原料制造,1,21.238,0.619,29,0.065,3.684,-0.0604
300014,2019,177,5,2.8249,18.75,北智控科技,汽车零部件制造,0,21.195,0.503,10,0.023,4.195,-0.8951
300014,2020,160,8,5.0,26.6667,北智控科技,汽车零部件制造,0,21.304,0.365,11,0.083,4.132,0.106
300014,2021,181,4,2.2099,12.5,北智控科技,汽车零部件制造,0,21.482,0.449,12,0.063,3.866,-0.3394
300014,2022,183,4,2.1858,11.7647,北智控科技,汽车零部件制造,0,21.61,0.479,13,0.006,2.75,-0.2351
300014,2023,152,6,3.9474,21.4286,北智控科技,汽车零部件制造,0,21.614,0.618,14,-0.013,3.529,-0.1615
300017,2019,186,7,3.7634,29.4118,恒光电股份,化学原料制造,0,20.905,0.418,9,0.098,3.236,0.3819
300017,2020,175,5,2.8571,18.75,恒光电股份,化学原料制造,0,20.73,0.406,10,0.053,4.751,0.0343
300017,2021,191,6,3.1414,22.2222,恒光电股份,化学原料制造,0,20.686,0.425,11,0.116,1.718,0.3799
300017,2022,194,9,4.6392,29.4118,恒光电股份,化学原料制造,0,20.669,0.488,12,0.113,2.665,0.3365
300017,2023,212,7,3.3019,25.0,恒光电股份,化学原料制造,0,20.656,0.512,13,-0.048,3.401,0.5694
300020,2019,165,5,3.0303,20.0,恒精工股份,医药制造,0,23.026,0.514,21,-0.008,7.205,-0.3422
300020,2020,165,3,1.8182,13.3333,恒精工股份,医药制造,0,23.432,0.439,22,0.051,4.948,-0.2627
300020,2021,199,7,3.5176,23.5294,恒精工股份,医药制造,0,23.571,0.186,23,0.043,4.53,0.2884
300020,2022,176,4,2.2727,17.6471,恒精工股份,医药制造,0,23.328,0.504,24,0.068,8.081,-0.5984
300020,2023,218,4,1.8349,15.0,恒精工股份,医药制造,0,23.428,0.357,25,0.033,5.362,-0.2743
300023,2019,179,5,2.7933,17.6471,中新材科技,电子元器件制造,0,22.186,0.597,7,0.12,6.553,-0.4138
